,input
792,"As a CONNECT developer, I would like to have a profile that would disable the SOAPUI tests.	
"
793,"As a collection curator, I want to see the referers for visitors who use resolver-abstracted links to reach my items.
"
794,"As a migration specialist, I want to store the AT or Archon source record ids in each ASpace record
"
795,"As a DigitalRecords Archivist, I want to have a method to batch ingest ETDs we receive from ProQuest.
"
796,"As a parent, I want to be able to submit various type of forms to the camp management.
"
797,"As an Archivist, I want to import Resources from MARCXML records.
"
798,"As a site visitor, I want to read current news on the home page, so that I stay current on agile news.	
"
799,"As a site visitor, I want to see a list of the most popular items on the site, so that I am most likely to read the most important or best content.
"
800,"As a broker team member, I want to make some updates to the SQL codes for clarity.	
"
801,"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.	
"
802,"As a Developer, I want an Elasticsearch integration, so that I can integrate data-packaged data with pipelines that use Elasticsearch.	
"
803,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.	
"
804,"As a User, I want to authenticate locally.
"
805,"As a researcher, I want to stream audio and video files in my web browser.
"
806,"As the site editor, I want to have pretty good control over how the article, so that articles are visually appealing.	
"
807,"As a Developer , I want to determine how agencies will generate and validate D Files from FABS and FPDS data.
"
808,"As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. 
"
809,"As an OpenSpending Community Member, I want to have a blog that highlights any and all projects in the open fiscal space, So that I can relate to openspending.org as the central hub of fiscal openness.	
"
810,"As a Zooniverse admin, I want to remove background noise and distracting sounds from the audio files.	
"
811,"As a data contributor, I want to refer to the Disaster Recovery Plan in grant proposals and Data Management Plans.
"
812,"As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.	
"
813,"As a camp administrator, I want to be able to suspend a camper who had behavioral problems.
"
814,"As a Data Publishing User, I want to have the Packager support Constants, So that I can model dimensions that may not exist in the source file.
"
815,"As a CONNECT product manager, I want all the Product testing provisional test cases to be executed so that we can assess where CONNECT stands as is currently from a testing compliance perspective	
"
